"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d Regra de Preço no Carrinho de Compras baseado em ""%s"" atributos foi desabilitado."
"%s Coupon(s) have been generated","%s Eventualidade foram geradas"
Actions,Ações
"Payment Method","Forma de Pagamento"
"Percent of product price discount","Valor Percentual %"
Period,Período
"Price in cart","Preço no carrinho"
Priority,Prioridade
"Product attribute combination","Combinação de atributos de produto"
"Products subselection","Sub-seleção de Produtos"
Promotions,Promoções
"Public In RSS Feed","Publicar na Lista RSS"
"Quantity in cart","Quantidade no carrinho"
"Row total in cart","Total de linhas no carrinho"
"Rule Information","Informações da Regra"
"Rule Name","Nome da Regra"
"Rule is not defined","Regra não está definida"
"Sales Discount Amount","Valor Desconto da Venda"
"Sales Subtotal Amount","Valor no Subtotal da Venda"
"Sales Total Amount","Valor Total da Venda"
"Save and Continue Edit","Salvar e Continuar"
"Shipping Country","País de Entrega"
"Shipping Method","Forma de Entrega"
"Shipping Postcode","CEP Entrega"
"Shipping Region","Região Entrega"
"Shipping State/Province","Entrega Estado/Cidade"
"Shopping Cart Price Rule","Regras da Promoção"
"Shopping Cart Price Rules","Promoção de Carrinho"
"Special Price","Preço especial"
"Specific Coupon","Cupom Específico"
Status,Status
"Stop Further Rules Processing","Aplicar Somente esta Regra"
"Store View Specific Labels","Legenda Específica por Visão"
Subtotal,Subtotal
"Subtotal Amount","Valor Subtotal"
"The rule has been deleted.","A regra foi excluída com sucesso."
"The rule has been saved.","A regra foi salva com sucesso."
"This rule no longer exists.","Esta regra não existe mais."
"Times Used","Vezes usados"
"To Date","Para Data"
"To Fixed Value","Valor Fixo"
"To Percentage",Porcentagem
Total,Total
"Total Amount","Valor Total"
"Total Items Quantity","Quantidade de Itens Total"
"Total Weight","Peso Total"
"Unable to create requested Coupon Qty. Please check settings and try again.","Não é possível criar solicitada cupom Qtd. Por favor, verifique as configurações e tente novamente."
"Unable to find a rule to delete.","Não foi possível encontrar a página para excluir"
"Update prices using the following information","Atualizar os Preços com as Informações Abaixo"
"Update product's %s %s: %s","Atualizar produtos %s %s: %s"
"Update the Product","Atualizar o Produto"
"Use Auto Generation","Geração automática de uso"
Used,Usado
"Uses per Coupon","Usos por cupom"
"Uses per Customer","Usos por cliente"
Website,Website
Websites,Sistemas
"Wrong rule specified.","Regra especificada errada."
Yes,Sim
"total amount","montante total"
"total quantity","quantidade total"
